context_length,sparsity,method,total_cycles,latency_us,tokens_per_second,speedup_vs_dense,effective_ddr_bandwidth_gbps,bubble_rate_pct,p_util_pct,f_util_pct,c_util_pct,avg_p_cycles,avg_f_cycles,avg_c_cycles
131072,0.01,Sparse-HashMergePipeline,269507,1347.54,742.096,63.4622,15.9398,0,97.6954,3.04333,15.7146,32912,1025.25,5294
131072,0.05,Dense-FullKV,17103504,85517.5,11.6935,1,25.1116,0,0,75.4746,24.5254,0,1.6136e+06,524338
131072,0.05,Sparse-LinearNaive,1008282,5041.41,198.357,16.963,21.2997,0,26.1133,53.0465,20.8402,32912,66857.2,26266
131072,0.05,Sparse-HashNoMerge,867999,4339.99,230.415,19.7045,24.7421,0,30.3337,45.458,24.2083,32912,49321.9,26266
131072,0.05,Sparse-HashMerge,494008,2470.04,404.852,34.6219,43.4733,0,53.2979,4.16673,42.5353,32912,2573,26266
131072,0.05,Sparse-HashMergePipeline,292065,1460.33,684.779,58.5606,73.5321,0,90.1498,6.85875,71.9456,32912,2504,26266
131072,0.1,Dense-FullKV,17103504,85517.5,11.6935,1,25.1116,0,0,75.4746,24.5254,0,1.6136e+06,524338
131072,0.1,Sparse-LinearNaive,1746186,8730.93,114.535,9.79478,24.5978,0,15.0783,60.8775,24.0442,32912,132879,52482
131072,0.1,Sparse-HashNoMerge,1473547,7367.73,135.727,11.607,29.1489,0,17.8682,53.6389,28.4929,32912,98799.4,52482
131072,0.1,Sparse-HashMerge,723384,3616.92,276.478,23.6437,59.3769,0,36.3978,5.56164,58.0405,32912,5029,52482
131072,0.1,Sparse-HashMergePipeline,457049,2285.24,437.59,37.4216,93.9774,0,57.6078,7.61931,91.8624,32912,4353,52482
